time,open,high,low,close,volume
1631152800000,3.0,14.444,3.0,11.327,615209.52
1631152860000,11.327,11.327,10.49,11.088,376937.58
1631152920000,11.066,11.484,10.814,11.245,197552.85
1631152980000,11.228,11.344,10.8,11.195,186695.4
1631153040000,11.195,11.33,11.071,11.11,87108.28
1631153100000,11.109,11.6,11.049,11.449,146824.41
1631153160000,11.449,11.775,11.282,11.755,172148.49
1631153220000,11.755,11.949,11.649,11.696,189130.68
1631153280000,11.696,11.7,11.391,11.475,70224.53
1631153340000,11.496,12.1,11.478,11.882,166240.93
1631153400000,11.955,12.2,11.812,12.157,119871.23
1631153460000,12.156,12.206,11.9,12.206,122117.1
1631153520000,12.206,12.299,11.837,12.007,208784.58
1631153580000,12.008,12.013,11.662,11.871,97477.91
1631153640000,11.868,11.898,11.738,11.795,37759.37
1631153700000,11.786,11.792,11.323,11.459,143686.94
1631153760000,11.462,11.567,11.414,11.479,49477.21
1631153820000,11.468,11.7,11.383,11.7,67380.06
1631153880000,11.686,11.789,11.6,11.735,47293.56
1631153940000,11.748,11.76,11.62,11.652,41890.32
1631154000000,11.636,11.779,11.6,11.779,31393.31
1631154060000,11.78,12.189,11.711,12.136,86828.73
1631154120000,12.136,12.138,11.816,11.939,104660.7
1631154180000,11.963,12.25,11.913,12.158,94133.25
1631154240000,12.156,12.389,12.127,12.388,93091.07
1631154300000,12.374,12.673,12.259,12.6,200774.1
1631154360000,12.6,12.799,12.368,12.45,136928.85
1631154420000,12.463,12.653,12.368,12.559,59253.85
1631154480000,12.57,12.7,12.543,12.599,56919.86
1631154540000,12.599,12.599,12.465,12.519,72047.01
1631154600000,12.518,12.518,12.34,12.385,51863.73
1631154660000,12.386,12.758,12.386,12.721,46031.98
1631154720000,12.735,13.175,12.735,13.111,177460.25
1631154780000,13.14,13.3,13.045,13.2,152241.92
1631154840000,13.188,13.216,12.744,12.933,76790.1
1631154900000,12.931,13.075,12.801,12.996,57905.48
1631154960000,12.991,13.148,12.851,12.943,98467.26
1631155020000,12.938,12.943,12.637,12.768,60081.86
1631155080000,12.787,13.131,12.779,13.054,54288.1
1631155140000,13.045,13.19,12.9,13.089,106879.41
1631155200000,13.071,13.47,13.036,13.401,118536.34
1631155260000,13.438,13.47,13.094,13.279,114100.06
1631155320000,13.266,13.279,12.907,13.07,63292.09
1631155380000,13.083,13.268,13.07,13.161,26869.59
1631155440000,13.155,13.378,13.155,13.225,53968.63
1631155500000,13.225,13.289,13.003,13.004,48183.28
1631155560000,13.039,13.089,12.908,12.909,27035.86
1631155620000,12.911,12.913,12.52,12.626,113929.39
1631155680000,12.621,12.649,12.501,12.501,72216.9
1631155740000,12.52,12.777,12.426,12.771,46012.62
1631155800000,12.746,12.955,12.681,12.684,42492.59
1631155860000,12.778,13.1,12.728,13.098,33595.87
1631155920000,13.1,13.348,13.098,13.294,60973.24
1631155980000,13.293,13.649,13.265,13.624,119581.2
1631156040000,13.611,13.611,13.278,13.324,43935.61
1631156100000,13.319,13.874,13.313,13.825,111012.11
1631156160000,13.824,14.148,13.645,14.148,126276.54
1631156220000,14.141,14.209,13.85,14.208,141243.23
1631156280000,14.208,14.4,14.146,14.154,125100.08
1631156340000,14.154,14.5,14.0,14.276,97808.32
1631156400000,14.289,14.393,13.833,13.881,111340.82
1631156460000,13.883,13.977,13.534,13.909,100353.7
1631156520000,13.909,14.393,13.8,14.391,64336.24
1631156580000,14.391,14.849,14.381,14.587,148273.07
1631156640000,14.596,14.675,14.348,14.41,105680.43
1631156700000,14.401,14.599,13.622,14.098,209734.91
1631156760000,14.098,14.456,14.043,14.22,55580.47
1631156820000,14.22,14.274,13.957,14.161,57423.73
1631156880000,14.158,14.295,14.075,14.295,38694.32
1631156940000,14.294,14.549,14.283,14.289,63037.24
1631157000000,14.299,14.648,14.1,14.539,69118.73
1631157060000,14.539,14.601,14.2,14.39,41709.69
1631157120000,14.384,14.647,14.354,14.647,48252.48
1631157180000,14.637,14.655,14.411,14.489,67146.86
1631157240000,14.48,14.581,14.2,14.2,66413.48
1631157300000,14.199,14.373,14.13,14.373,35813.93
1631157360000,14.365,14.379,14.122,14.195,36573.22
1631157420000,14.192,14.295,14.095,14.101,32666.32
1631157480000,14.123,14.123,13.821,13.837,55087.92
1631157540000,13.826,13.848,13.422,13.668,117168.44
1631157600000,13.669,13.915,13.574,13.761,56563.92
1631157660000,13.761,13.843,13.699,13.843,23417.84
1631157720000,13.845,14.0,13.832,13.919,47794.46
1631157780000,13.932,13.965,13.798,13.898,38038.23
1631157840000,13.894,13.975,13.809,13.832,20136.2
1631157900000,13.832,13.941,13.567,13.81,100409.76
1631157960000,13.804,13.837,13.688,13.698,14735.9
1631158020000,13.692,13.698,13.44,13.471,24892.4
1631158080000,13.471,13.599,13.323,13.599,66785.93
1631158140000,13.599,13.671,13.463,13.489,24128.23
1631158200000,13.478,13.521,13.123,13.165,41692.93
1631158260000,13.186,13.213,13.0,13.21,96551.76
1631158320000,13.21,13.349,13.152,13.2,53615.99
1631158380000,13.2,13.31,13.099,13.125,65335.38
1631158440000,13.123,13.15,12.833,12.949,69125.72
1631158500000,12.952,13.14,12.85,12.9,115916.82
1631158560000,12.883,13.112,12.803,13.098,55444.86
1631158620000,13.097,13.299,13.095,13.175,34646.35
1631158680000,13.171,13.299,13.102,13.296,24677.83
1631158740000,13.293,13.347,13.164,13.234,35542.84
1631158800000,13.225,13.436,13.2,13.433,27967.76
1631158860000,13.433,13.448,13.292,13.444,31830.22
1631158920000,13.432,13.549,13.432,13.535,36564.87
1631158980000,13.535,13.711,13.509,13.708,34435.53
1631159040000,13.711,13.766,13.663,13.692,40842.43
1631159100000,13.7,13.91,13.699,13.857,51783.21
1631159160000,13.862,13.999,13.853,13.971,59911.2
1631159220000,13.971,13.978,13.636,13.717,44400.66
1631159280000,13.718,13.749,13.55,13.55,42007.29
1631159340000,13.55,13.64,13.55,13.629,30458.89
1631159400000,13.623,13.623,13.353,13.418,32269.21
1631159460000,13.419,13.498,13.288,13.494,23601.17
1631159520000,13.488,13.531,13.422,13.476,13089.26
1631159580000,13.481,13.481,13.369,13.421,13885.06
1631159640000,13.406,13.413,13.323,13.382,15176.2
1631159700000,13.382,13.394,13.115,13.131,42843.49
1631159760000,13.12,13.365,13.11,13.35,20931.92
1631159820000,13.352,13.528,13.35,13.508,25070.2
1631159880000,13.48,13.549,13.4,13.547,30475.48
1631159940000,13.515,13.548,13.478,13.499,7030.51
1631160000000,13.499,13.549,13.466,13.521,16156.88
1631160060000,13.521,13.773,13.501,13.77,21440.81
1631160120000,13.77,14.038,13.751,14.0,47227.78
1631160180000,14.029,14.099,13.722,13.755,41552.18
1631160240000,13.755,13.877,13.702,13.803,28132.63
1631160300000,13.783,13.849,13.734,13.832,32350.0
1631160360000,13.839,13.983,13.682,13.703,23121.99
1631160420000,13.702,13.715,13.537,13.647,22586.77
1631160480000,13.652,13.66,13.521,13.521,7229.96
1631160540000,13.524,13.554,13.29,13.332,25864.13
1631160600000,13.334,13.546,13.316,13.523,16683.2
1631160660000,13.523,13.6,13.498,13.586,5126.22
1631160720000,13.573,13.608,13.543,13.6,11683.03
1631160780000,13.6,13.609,13.545,13.549,11403.91
1631160840000,13.555,13.564,13.301,13.303,23274.75
1631160900000,13.303,13.313,12.898,13.022,67121.02
1631160960000,13.023,13.261,13.0,13.2,33897.82
1631161020000,13.2,13.298,13.195,13.234,13943.51
1631161080000,13.234,13.27,13.221,13.239,11182.28
1631161140000,13.24,13.241,13.239,13.239,17566.06
1631161200000,13.239,13.24,13.181,13.183,8767.18
1631161260000,13.183,13.186,13.0,13.006,26283.77
1631161320000,13.018,13.024,12.885,12.93,24144.27
1631161380000,12.931,12.94,12.887,12.922,13299.19
1631161440000,12.915,12.981,12.836,12.95,23919.47
1631161500000,12.95,13.108,12.931,13.102,27826.25
1631161560000,13.075,13.239,13.049,13.147,17681.58
1631161620000,13.142,13.16,12.9,13.129,27168.23
1631161680000,13.152,13.152,12.991,13.013,19135.59
1631161740000,13.005,13.025,12.9,12.924,25076.35
1631161800000,12.923,12.999,12.919,12.968,10352.54
1631161860000,12.966,12.97,12.846,12.87,13769.93
1631161920000,12.87,12.871,12.679,12.696,31126.06
1631161980000,12.695,12.812,12.685,12.738,31871.68
1631162040000,12.725,12.81,12.721,12.765,12310.25
1631162100000,12.755,12.774,12.631,12.694,27691.27
1631162160000,12.7,12.701,12.622,12.674,18238.85
1631162220000,12.669,12.689,12.578,12.578,43098.74
1631162280000,12.58,12.601,12.422,12.512,64529.52
1631162340000,12.482,12.5,12.4,12.422,30833.08
1631162400000,12.423,12.432,12.321,12.36,46348.85
1631162460000,12.36,12.499,12.264,12.477,60068.91
1631162520000,12.472,12.68,12.458,12.663,63103.79
1631162580000,12.663,12.7,12.612,12.688,24358.28
1631162640000,12.696,12.721,12.624,12.647,13430.71
1631162700000,12.647,12.761,12.643,12.668,27295.1
1631162760000,12.669,12.708,12.635,12.708,11644.65
1631162820000,12.7,12.708,12.671,12.704,11884.84
1631162880000,12.7,12.701,12.654,12.687,10363.08
1631162940000,12.677,12.706,12.654,12.697,8580.89
1631163000000,12.697,12.71,12.687,12.693,6523.81
1631163060000,12.707,12.77,12.686,12.755,16529.48
1631163120000,12.755,12.77,12.707,12.758,8563.36
1631163180000,12.76,12.767,12.7,12.76,9145.22
1631163240000,12.753,12.937,12.753,12.937,16120.31
1631163300000,12.928,12.995,12.915,12.938,42232.38
1631163360000,12.938,12.955,12.813,12.815,20887.89
1631163420000,12.815,12.815,12.675,12.7,20355.9
1631163480000,12.7,12.7,12.391,12.4,39182.47
1631163540000,12.4,12.426,12.295,12.344,50612.05
1631163600000,12.342,12.548,12.33,12.515,20211.35
1631163660000,12.523,12.529,12.333,12.426,78627.71
1631163720000,12.413,12.521,12.413,12.498,13195.11
1631163780000,12.48,12.6,12.479,12.49,11687.39
1631163840000,12.491,12.493,12.395,12.422,12802.34
1631163900000,12.422,12.457,12.404,12.41,3750.4
1631163960000,12.41,12.413,12.37,12.389,16907.72
1631164020000,12.382,12.386,12.156,12.237,44633.93
1631164080000,12.239,12.45,12.215,12.424,14123.16
1631164140000,12.424,12.54,12.383,12.52,8788.07
1631164200000,12.52,12.84,12.501,12.767,22918.97
1631164260000,12.795,12.846,12.7,12.7,28781.44
1631164320000,12.7,12.701,12.492,12.512,14092.82
1631164380000,12.511,12.548,12.435,12.45,15561.73
1631164440000,12.449,12.461,12.402,12.408,9419.65
1631164500000,12.408,12.435,12.399,12.426,6727.48
1631164560000,12.426,12.436,12.421,12.43,3900.62
1631164620000,12.43,12.594,12.43,12.569,12122.65
1631164680000,12.569,12.635,12.562,12.577,9792.76
1631164740000,12.567,12.574,12.461,12.534,11571.71
1631164800000,12.544,12.7,12.536,12.688,11222.43
1631164860000,12.699,13.0,12.69,12.99,58968.45
1631164920000,12.99,13.199,12.939,13.179,77795.52
1631164980000,13.177,13.192,12.918,13.0,41886.76
1631165040000,12.993,13.177,12.951,13.101,67520.63
1631165100000,13.101,13.3,13.043,13.285,53664.5
1631165160000,13.297,13.345,13.078,13.121,44168.78
1631165220000,13.115,13.199,13.11,13.179,18133.84
1631165280000,13.169,13.171,12.924,12.966,16862.1
1631165340000,12.966,13.047,12.901,13.033,9047.08
1631165400000,13.041,13.046,12.8,12.8,19810.37
1631165460000,12.809,12.809,12.691,12.771,15902.86
1631165520000,12.799,12.806,12.569,12.667,33941.28
1631165580000,12.668,12.819,12.661,12.785,12610.77
1631165640000,12.795,12.871,12.774,12.845,5328.68
1631165700000,12.843,12.864,12.785,12.791,9408.68
1631165760000,12.791,12.828,12.779,12.784,5707.2
1631165820000,12.784,12.788,12.684,12.691,6651.75
1631165880000,12.691,12.695,12.64,12.64,9477.1
1631165940000,12.64,12.642,12.602,12.609,2244.34
1631166000000,12.604,12.632,12.6,12.603,4066.56
1631166060000,12.613,12.968,12.608,12.935,28850.8
1631166120000,12.933,12.942,12.88,12.889,15346.89
1631166180000,12.905,12.911,12.851,12.889,4567.46
1631166240000,12.888,12.893,12.841,12.88,5535.41
1631166300000,12.881,12.926,12.832,12.832,11142.14
1631166360000,12.831,12.85,12.66,12.68,3475.83
1631166420000,12.677,12.694,12.658,12.668,2602.01
1631166480000,12.668,12.668,12.541,12.585,13747.54
1631166540000,12.585,12.586,12.54,12.554,3626.69
1631166600000,12.556,12.601,12.556,12.57,7926.88
